Datetime,Junction,Vehicle,occupy,speed
2015-05-01 00:00:00,1,210.0,0.0589,69.6
2015-05-01 01:00:00,1,185.0,0.055,68.5
2015-05-01 02:00:00,1,171.0,0.0466,69.9
2015-05-01 03:00:00,1,174.0,0.0529,68.0
2015-05-01 04:00:00,1,176.0,0.0484,68.7
2015-05-01 05:00:00,1,153.0,0.0513,65.3
2015-05-01 06:00:00,1,141.0,0.0439,64.8
2015-05-01 07:00:00,1,138.0,0.0391,66.6
2015-05-01 08:00:00,1,157.0,0.0429,68.9
2015-05-01 09:00:00,1,136.0,0.0402,68.5
2015-05-01 10:00:00,1,137.0,0.0409,68.2
2015-05-01 11:00:00,1,139.0,0.0403,68.9
2015-05-01 12:00:00,1,135.0,0.0426,68.3
2015-05-01 13:00:00,1,136.0,0.0374,71.3
2015-05-01 14:00:00,1,114.0,0.0325,72.1
2015-05-01 15:00:00,1,116.0,0.0349,70.7
2015-05-01 16:00:00,1,127.0,0.0482,66.7
2015-05-01 17:00:00,1,131.0,0.0399,68.3
2015-05-01 18:00:00,1,131.0,0.0438,66.7
2015-05-01 19:00:00,1,107.0,0.0374,65.2
2015-05-01 20:00:00,1,135.0,0.0469,64.8
2015-05-01 21:00:00,1,138.0,0.0428,66.7
2015-05-01 22:00:00,1,99.0,0.0307,67.6
2015-05-01 23:00:00,1,89.0,0.0289999999999999,67.7
2015-05-02 00:00:00,1,101.0,0.0319,68.3
2015-05-02 01:00:00,1,86.0,0.0279999999999999,69.1
2015-05-02 02:00:00,1,114.0,0.0369,68.2
2015-05-02 03:00:00,1,113.0,0.0387,67.0
2015-05-02 04:00:00,1,114.0,0.0349,69.3
2015-05-02 05:00:00,1,124.0,0.0427,66.5
2015-05-02 06:00:00,1,114.0,0.0346,68.1
2015-05-02 07:00:00,1,103.0,0.03,70.6
2015-05-02 08:00:00,1,108.0,0.0355,69.7
2015-05-02 09:00:00,1,102.0,0.0347,67.7
2015-05-02 10:00:00,1,86.0,0.0257,68.7
2015-05-02 11:00:00,1,96.0,0.0327,68.1
2015-05-02 12:00:00,1,86.0,0.0295,67.9
2015-05-02 13:00:00,1,78.0,0.0273,67.1
2015-05-02 14:00:00,1,97.0,0.0292,69.9
2015-05-02 15:00:00,1,88.0,0.0302,68.9
2015-05-02 16:00:00,1,101.0,0.0321,69.7
2015-05-02 17:00:00,1,119.0,0.0368,69.4
2015-05-02 18:00:00,1,124.0,0.0405,68.1
2015-05-02 19:00:00,1,119.0,0.0355,69.7
2015-05-02 20:00:00,1,134.0,0.0378,70.8
2015-05-02 21:00:00,1,131.0,0.0406,70.5
2015-05-02 22:00:00,1,108.0,0.0327,69.5
2015-05-02 23:00:00,1,118.0,0.0367,68.8
2015-05-03 00:00:00,1,104.0,0.037,66.9
2015-05-03 01:00:00,1,131.0,0.0453,66.3
2015-05-03 02:00:00,1,142.0,0.0517,65.0
2015-05-03 03:00:00,1,124.0,0.0382,67.8
2015-05-03 04:00:00,1,155.0,0.0486,68.8
2015-05-03 05:00:00,1,162.0,0.0479,70.2
2015-05-03 06:00:00,1,174.0,0.055,68.5
2015-05-03 07:00:00,1,208.0,0.06,69.7
2015-05-03 08:00:00,1,246.0,0.0737,70.4
2015-05-03 09:00:00,1,213.0,0.0607,72.1
2015-05-03 10:00:00,1,192.0,0.0556,72.1
2015-05-03 11:00:00,1,163.0,0.0542,69.8
2015-05-03 12:00:00,1,170.0,0.0539,68.0
2015-05-03 13:00:00,1,220.0,0.064,70.0
2015-05-03 14:00:00,1,210.0,0.0679,68.5
2015-05-03 15:00:00,1,251.0,0.0763,68.2
2015-05-03 16:00:00,1,250.0,0.0719,69.1
2015-05-03 17:00:00,1,283.0,0.0804,70.2
2015-05-03 18:00:00,1,293.0,0.0874,69.5
2015-05-03 19:00:00,1,359.0,0.1057,69.4
2015-05-03 20:00:00,1,382.0,0.1054,70.6
2015-05-03 21:00:00,1,375.0,0.1159999999999999,68.1
2015-05-03 22:00:00,1,366.0,0.1042,69.5
2015-05-03 23:00:00,1,315.0,0.0939,69.0
2015-05-04 00:00:00,1,289.0,0.0888,65.9
2015-05-04 01:00:00,1,305.0,0.095,64.7
2015-05-04 02:00:00,1,315.0,0.0931,64.2
2015-05-04 03:00:00,1,352.0,0.1,65.1
2015-05-04 04:00:00,1,361.0,0.1092,64.3
2015-05-04 05:00:00,1,395.0,0.1106,64.9
2015-05-04 06:00:00,1,416.0,0.1227,63.9
2015-05-04 07:00:00,1,479.0,0.1409,63.1
2015-05-04 08:00:00,1,474.0,0.1447,62.1
2015-05-04 09:00:00,1,550.0,0.1737,60.5
2015-05-04 10:00:00,1,482.0,0.1423,61.8
2015-05-04 11:00:00,1,441.0,0.1332,62.1
2015-05-04 12:00:00,1,426.0,0.1358,60.9
2015-05-04 13:00:00,1,460.0,0.134,61.8
